,cost,treated_area,site_slope,site_footprint,tss_conc_pct_reduction,site_equity_factor,risk_factor
0,274687.28,186.9,0.05866986656820766,139060.25807778505,30.70643554357982,0.6944731553928396,2
1,666485.73,166.6,0.015576447652298212,100142.03788904042,13.15432866393699,-0.010965912561259117,2
2,517755.88,88.2,0.028384535855221008,210074.87901039352,15.866893347610572,-0.6090687787356284,1
3,427087.77,303.7,0.05339917031176764,47849.71093417023,20.537717023559274,0.4732835732201852,0
4,126092.68,238.4,0.03908505821743392,128117.55612136949,22.51418675538556,-0.1626437286334086,0
5,126076.27,432.9,0.05934711205215661,152565.69926187245,25.83451559210679,0.18925496690499433,2
6,59496.86,16.2,0.07693542419660591,179842.83288155505,26.96956249086052,-0.7854694196521224,1
7,608999.78,322.0,0.010207188329500603,88756.89622113435,44.19160571192809,0.2631679790319845,1
8,428758.21,381.5,0.057055849595446816,149674.20710626798,48.82329441103955,-0.25289902210975135,0
9,501489.35,379.8,0.019197188294937047,66176.64017321993,31.56361189886661,-0.33162050056301107,2
10,33997.46,443.1,0.03374366146519797,94959.5976979321,83.02749211318262,0.9598311575556024,2
11,679538.7,364.6,0.003596155337816046,195088.46374985966,52.57001620715009,-0.13513871447950554,0
12,586061.0,463.9,0.011736683201123217,206899.89579041567,72.72301581087298,0.3560767562314684,1
13,164390.6,166.5,0.026262405834863077,156614.6546913728,84.48445358819252,0.2554550711476822,1
14,143640.98,251.7,0.02801687861775081,81658.97143289786,19.02961985351925,-0.7913928982296847,1
15,144715.07,7.2,0.07206723210050557,178644.5750984869,41.79720559954457,0.4958550741286323,1
16,226884.73,3.7,0.059603219832054695,5828.676983451432,42.25609454745636,-0.35368159313284697,2
17,376834.37,120.2,0.07780245448677625,22557.510133378022,35.48461353769846,0.5978790983934701,0
18,313722.61,50.6,0.048326649316484005,144114.92503527857,5.765904523441035,0.21528156523076492,1
19,218035.82,130.3,0.02009538483521412,63575.689978764494,75.17360126891617,-0.36581702009302086,0
20,436059.97,88.7,0.02688474736380979,207221.64112394396,14.59410165363564,-0.2874140793378581,0
21,114855.83,14.5,0.0262670379400654,95086.78919128551,90.61133142127127,0.4630147393327213,1
22,218658.36,454.7,0.026793051885396876,93629.78491668492,71.47443030436162,0.10011863024576373,0
23,269126.05,4.3,0.054164169675833436,147750.10141754666,54.880861514160244,0.33670208134263047,0
24,330127.59,368.1,0.04293382631914288,167222.91915782687,18.29615192577738,-0.6833633578496234,1
25,553919.65,76.2,0.0314485100688449,103681.5814160297,49.323795539819244,0.5739533444568372,2
26,155778.17,456.1,0.012778091729568612,46766.59621247117,27.455351713771563,-0.3592173621699306,2
27,369679.42,446.4,0.002748993872429527,168471.96065709527,26.699737110703975,0.23972253431534662,0
28,422841.91,327.0,0.018287939529427717,69908.43741250136,76.33951544689374,-0.7706403495159826,1
29,51586.28,336.2,0.009490240913525821,38304.10339834342,37.73542046051138,-0.357159517686066,1
30,433130.5,2.9,0.0630501574373269,137644.90532768288,43.762247091609154,0.29773458613328363,0
31,135956.4,492.4,0.009887338667296946,19882.717937100246,77.49496744909017,-0.4515877354194988,0
32,64235.08,438.9,0.05821403074724006,211566.34209872555,12.54999381182046,0.7606243934996342,0
33,665242.17,447.6,0.03146703649231053,137809.644736081,56.13713536583026,0.32245679888684076,1
34,676629.78,329.7,0.006796892789758302,214730.86535257407,54.72654859808125,0.7405567865935914,2
35,569710.2,172.5,0.06520567390509528,73943.2089489512,41.56845295693407,-0.20921859549775856,1
36,227137.36,446.8,0.04679081504869246,211534.2430750306,76.36061916247199,-0.93202971475065,2
37,86417.04,145.9,0.019625159516222273,31874.345105748493,86.08854527486957,0.15227992671020552,0
38,485278.46,281.4,0.07167981277228076,9055.182462713392,45.018884124570526,-0.3216129945492554,2
39,319303.7,50.0,0.004575406795773566,7377.331554921517,44.228646385862376,-0.10362324815529345,1
40,102986.0,461.0,0.01694374904762327,101355.79264239181,48.17748075168405,0.3622204278454977,0
41,356720.3,70.6,0.06041170729666302,18261.713371342223,67.1886666516433,0.40132933414174343,2
42,43384.19,112.6,0.05704085649448125,111647.73159487013,62.453185000110764,-0.9448871702683692,1
43,638337.87,279.2,0.023852463804233764,71464.10956353674,24.163805631792286,0.538605345679227,1
44,195970.39,382.1,0.005899965152869866,73232.86876236755,10.494999979543525,-0.012962170087842173,0
45,470515.15,309.8,0.06878816770577056,138508.51764822894,86.63585516424388,0.11339754664909996,0
46,231963.53,116.2,0.025782113407522306,35690.12613859255,27.451999337098567,-0.4040116296202949,2
47,373646.25,0.7,0.01646135977933295,167002.01338592547,59.91931488339089,-0.15833242799883807,0
48,391762.99,378.6,0.04176888396651719,126849.92814383093,76.24566823596012,0.42075026795866344,2
49,145701.03,492.6,0.07290794874331334,199291.95123721837,30.82380054705802,0.553427605888517,0
50,679317.55,405.0,0.004440179649626652,79589.3262598131,59.64727357449587,-0.22578763766404397,0
51,547090.32,230.2,0.06149852295444013,214038.78227380652,14.279420738833343,0.38223506530266027,0
52,658859.28,451.9,0.046225385007158004,125500.09592497145,88.41410421630682,-0.4839129966231239,1
53,628482.6,205.0,0.03461048020759354,212012.26566640736,10.001611654353825,0.6640453303550304,0
54,426571.99,262.6,0.05978235508429974,6088.398320652295,42.68302195032396,0.2196284778147306,2
55,646874.48,238.7,0.07730012953088895,158607.64775693562,51.166454817162005,0.5503730321337901,0
56,80174.9,223.9,0.01910729068185259,177896.84368609943,72.98143296504931,-0.045690295364305245,2
57,153268.35,387.6,0.01234814184069745,11770.507180803696,15.417052468228226,-0.5417814300360895,2
58,50754.56,263.5,0.07311765787259307,126183.79888993507,42.90948575154518,-0.14153777337271212,0
59,241224.62,158.5,0.05384729311912699,174702.64308506396,30.775194980736902,-0.2370292110433585,2
60,284300.56,129.2,0.035600895703395315,122282.02660854063,31.832921549627244,-0.3345669131196818,2
61,204517.34,19.1,0.04628750605087836,14085.83727222954,71.97576078161157,-0.5756525045170433,1
62,583541.51,291.7,0.05990349850892328,151094.11961947256,5.46964127273765,0.5183342837596123,1
63,262592.26,115.1,0.06206951999775166,13385.888632911958,69.4211931548931,-0.827296677358879,1
64,211035.47,74.2,0.0736716402846982,178081.23155557702,74.69426499058713,0.7751218597716678,2
65,389033.34,327.0,0.03472058032275419,9564.2382875367,82.51715297041792,-0.649950554204493,0
66,115828.47,340.7,0.02417946189153221,30097.670107856688,58.91183507782158,0.9597473037030826,1
67,565493.95,376.1,0.051533477076397514,60063.41169786322,33.67715823141275,0.9769360961741487,0
68,70694.44,251.9,0.0338425040430829,138020.17879595008,41.74218699920288,-0.20322591751769647,1
69,691083.12,447.0,0.047973277861969255,212655.74007977216,88.39730307671891,0.9756421452645259,0
70,545126.44,468.2,0.034178878078020065,25838.252730097727,80.78206707348329,0.7381370345614526,0
71,155126.66,403.7,0.013086667147575785,31253.18882094865,44.863228182552014,-0.8351394461066688,1
72,23755.04,317.9,0.03808471338105772,80466.19832213332,86.10341861153933,0.8946571272572363,0
73,574513.77,152.0,0.055582507933341595,182161.28437555768,75.77411928495547,-0.9149712281908116,0
74,500662.99,491.5,0.06414342080574434,101869.45531857717,82.49372810274235,-0.6361714125217857,1
75,515724.87,137.2,0.0399727758669272,70182.4666156668,63.736042173529206,0.16919108169334862,2
76,544463.84,101.5,0.014053793326621673,122317.95388864822,78.75824773773158,-0.8385256431999728,1
77,70350.36,221.2,0.0337603290623051,56889.847764195205,81.69188815475201,-0.6765444860212622,0
78,263756.7,28.6,0.06311722037849415,87492.39581706055,12.913426270497741,0.9069835742244774,0
79,98790.96,489.3,0.033615882378748754,72574.88047289231,88.00865999281663,0.9893757697752161,2
80,606910.33,294.3,0.05602593269473356,175181.08647742696,33.69072649370945,0.5962730835605945,1
81,443842.73,278.6,0.041069880852569095,201318.04607290897,42.83135782416857,0.030418782929405586,0
